text date genre wordcount
erv-old-1885-2 1885 bible 20880
fallowfield-1791-2 1791 handbook_other 8902
faraday-1859-1 1859 science_other 8829
fayrer-1900-1 1900 biography_auto 7762
fayrer-1900-2 1900 biography_auto 1781
ferguson-1756-2 1756 science_other 8905
fielding1-1735-2 1735 drama_comedy 10072
fielding1-1749-1 1749 fiction 9563
fielding1-1754-2 1754 travelogue 10044
fielding2-1744-2 1744 fiction 9348
fleming-1886-1 1886 handbook_other 9082
forster1-1827-2 1827 handbook_other 9047
forster2-1910-2 1910 fiction 10008
forster2-191x-2 1909-1911 letters_priv 9476
frost-1840-1 1840 proceedings_trial 28260
frost-1840-2 1840 proceedings_trial 14064
froude-1830-1 1830 sermon 9307
garrick-1759-2 1759 drama_comedy 9168
george-1763-1 1763 letters_non-priv 4942
gibbon-1776-1 1776 history 8812
gibbon-1789-2 1789 biography_auto 7744
gibson-1729-2 1729 history 8753
gisborne-1802-2 1802 sermon 9184
gladstone-1873-1 1873 letters_non-priv 11284
godwin-1805-1 1805 fiction 9371
goldsmith-1766-2 1766 fiction 9574
goldsmith-1773-1 1773 drama_comedy 10383
gordon-1781-2 1781 proceedings_trial 33070
grafting-1780-1 1780 handbook_other 9130
green-1874-2 1874 history 8898
greville-1827-2 1827 diary_priv 9948
greville-1855-2 1855 diary_priv 9934
grey-1914-2 1914 letters_non-priv 11150
hardy-1874-2 1874 fiction 10044
hare-183x-2 1835 sermon 9378
harris-177x-2 1773-1776 letters_non-priv 11071
harris-1797-2 1797 letters_non-priv 11459
haydon-1808-1 1808 diary_priv 10071
haydon-1842-2 1842 diary_priv 10293
heber-1815-2 1815 sermon 8788
herschel-1797-1 1797 science_other 9196
hind-1707-1 1707 history 8791
hobson-173x-2 1730-1735 diary_priv 9957
hodgkin-1880-2 1880 history 8832
holcroft-1794-2 1794 fiction 9489
holmes-letters-1749-1 1749 letters_non-priv 6537
holmes-trial-1749-1 1749 proceedings_trial 20708
hume-1757-2 1757 history 8796
hume-1776-2 1776 biography_auto 2983
hunt-1844-2 1844 science_medicine 7752
huxley-186x-2 1865-1868 educ_treatise 9102
huxley-1889-2 1889 biography_auto 4155
inchbald-1793-2 1793 drama_comedy 9694
innes-1902-2 1902 history 8726
johnson-1759-2 1759 fiction 9463
johnson-176x-2 1765-1768 letters_priv 9549
johnson-1775-1 1775 letters_priv 9527
johnstone-1786-2 1786 drama_comedy 9738
justice-1739-2 1739 travelogue 10151
keimer-1718-2 1718 biography_auto 14945
kimber-1742-1 1742 history 8829
kinglake-1844-2 1844 travelogue 10147
kingsley-1897-2 1897 travelogue 10108
kirkland-1774-2 1774 science_medicine 7709
knox-1786-2 1786 travelogue 10066
knyveton-1752-actually-gray-1937-2 1752 diary_priv 9941
lancaster1-1806-1 1806 educ_treatise 9235
lancaster2-1794-2 1794 educ_treatise 7549
lawrence-1908-2 1908 letters_priv 9490
layard-1894-2 1894 travelogue 10057
layer-1723-2 1723 proceedings_trial 46770
leathes-1913-2 1913 educ_treatise 9054
lefevre-1843-2 1843 biography_auto 7822
liddon-1889-2 1889 sermon 9189
lind-1753-1 1753 science_medicine 7744
lingard-1823-2 1823 history 8765
long-1866-1 1866 history 8865
loudon-1806-2 1806 handbook_other 9171
lyell-1830-1 1830 science_other 8958
macaulay-1833-2 1833 history 8929
macaulay-1843-2 1843 biography_other 9790
macaulay-1849-2 1849 history 8751
macquarie-1815-2 1815 travelogue 10093
mathews-1875-2 1875 drama_comedy 9640
maurice-1857-2 1857 sermon 9168
maxwell-1747-1 1747 handbook_other 10285
meredith-188x-2 1885-1886 letters_priv 9568
meredith-1895-1 1895 fiction 9529
midshipman-1767-2 1767 travelogue 10048
miles1-1873-2 1873 handbook_other 9146
miles2-1893-2 1893 handbook_other 9309
mill-1854-2 1854 letters_priv 9651
