"","ParticipantIdentifier","Age","Condition","NativeSpeaker","EngAoA","Bilingual","Gender","WorkerType","TimeToCompletion","CompletionDate","File","WordFreq","AUROCnofit","R","Rmin","Rmax","dprime","dmin","dmax","AUROC","logL","StartCondition","OrderCondition"
"50","3PwxlD6Y7RDPN1Ctf82w",45,"lowStart_even",TRUE,"unknown",FALSE,"female","turker",15,"07/03/2020","../data/3PwxlD6Y7RDPN1Ctf82w_responses.xlsx","AllFreq",0.607091394472718,0.175861174039069,4.07029353334001e-05,0.383565568136822,0.708704013140097,0.235545842390206,1.13120831753013,0.745915301853529,-339.446526474468,"Low","Even"
"51","3PwxlD6Y7RDPN1Ctf82w",45,"lowStart_even",TRUE,"unknown",FALSE,"female","turker",15,"07/03/2020","../data/3PwxlD6Y7RDPN1Ctf82w_responses.xlsx","LoFreq",0.655204897729618,0.467628422783154,4.07108614882498e-05,0.677189354242296,0.553793874869226,8.15188623800081e-05,1.34468461857315,0.814802182870608,-245.542104559872,"Low","Even"
"52","3U0or9D0yXooHchaEbQ4",43,"highStart_even",TRUE,"unknown",TRUE,"female","volunteer",16,"07/13/2020","../data/3U0or9D0yXooHchaEbQ4_responses.xlsx","LoFreq",0.708951400138631,0.548491076670126,4.07420829035856e-05,0.697367065177046,1.24035640661096,0.578266443682902,2.12332641693618,0.913747622108531,-217.196945520324,"High","Even"
"53","3U0or9D0yXooHchaEbQ4",43,"highStart_even",TRUE,"unknown",TRUE,"female","volunteer",16,"07/13/2020","../data/3U0or9D0yXooHchaEbQ4_responses.xlsx","AllFreq",0.639325207043385,0.396865049946298,0.114294135252162,0.50346983213539,0.837471974326261,0.419253389399589,1.38161795858737,0.832840505830063,-345.053868408009,"High","Even"
"54","3U0or9D0yXooHchaEbQ4",43,"highStart_even",TRUE,"unknown",TRUE,"female","volunteer",16,"07/13/2020","../data/3U0or9D0yXooHchaEbQ4_responses.xlsx","HiFreq",0.584761747130415,0.238894752123337,0.0231480520651373,0.375662655522144,0.607746897352408,0.0936927954699872,1.08572017702238,0.745914042127879,-243.27505702509,"High","Even"
"55","42EdqEDitqM3OH15Uyya",30,"highStart_clump",TRUE,"unknown",FALSE,"male","turker",20,"07/05/2020","../data/42EdqEDitqM3OH15Uyya_responses.xlsx","AllFreq",0.50471800877267,0,4.57763637185456e-05,0.0441630887456423,0,3.13384721580352e-05,0.178990356232142,0.499968328757859,-370.990310602896,"High","Clumped"
"56","42EdqEDitqM3OH15Uyya",30,"highStart_clump",TRUE,"unknown",FALSE,"male","turker",20,"07/05/2020","../data/42EdqEDitqM3OH15Uyya_responses.xlsx","HiFreq",0.552206098229362,0,4.5775590818401e-05,0.0829002748024324,0.266774725237131,0.00632576843586587,0.529152110403791,0.574756628535397,-271.267475858304,"High","Clumped"
"57","42EdqEDitqM3OH15Uyya",30,"highStart_clump",TRUE,"unknown",FALSE,"male","turker",20,"07/05/2020","../data/42EdqEDitqM3OH15Uyya_responses.xlsx","LoFreq",0.464594013808892,0,6.60408543905442e-05,0.044190177275435,0,3.13384721580352e-05,0.0900903338343153,0.499968328757859,-285.237446833732,"High","Clumped"
"58","4gycIiueXXKkAQ0sPtji",33,"highStart_even",TRUE,"unknown",FALSE,"male","turker",34,"07/13/2020","../data/4gycIiueXXKkAQ0sPtji_responses.xlsx","HiFreq",0.558890855042137,0,4.57632715866351e-05,0.0773063351556433,0.492740993732667,0.215622495075382,0.7730599171636,0.636150641459153,-241.261169071754,"High","Even"
"59","4gycIiueXXKkAQ0sPtji",33,"highStart_even",TRUE,"unknown",FALSE,"male","turker",34,"07/13/2020","../data/4gycIiueXXKkAQ0sPtji_responses.xlsx","AllFreq",0.563972965917401,0,4.07040939323562e-05,0.19721290948295,0.591580470718948,0.229337717758034,0.813301055521768,0.662033932406757,-337.891105260203,"High","Even"
"60","4gycIiueXXKkAQ0sPtji",33,"highStart_even",TRUE,"unknown",FALSE,"male","turker",34,"07/13/2020","../data/4gycIiueXXKkAQ0sPtji_responses.xlsx","LoFreq",0.569160415108854,0.268265914869949,4.07003410770956e-05,0.473189198613422,0.280551281497007,8.13817640688745e-05,0.83595875888368,0.691604872453354,-263.689505414112,"High","Even"
"61","4o9gKp3jnoFy8J2pmGVh",36,"lowStart_even",TRUE,"unknown",TRUE,"male","turker",49,"07/20/2020","../data/4o9gKp3jnoFy8J2pmGVh_responses.xlsx","LoFreq",0.745408784126539,0,4.06924423017665e-05,0.893327594989929,2.33268526089328,8.17551725387765e-05,2.6355068706673,0.948172093958874,-195.06940582726,"Low","Even"
"62","4o9gKp3jnoFy8J2pmGVh",36,"lowStart_even",TRUE,"unknown",TRUE,"male","turker",49,"07/20/2020","../data/4o9gKp3jnoFy8J2pmGVh_responses.xlsx","AllFreq",0.773280963197521,0,4.07037481454664e-05,0.904640794895601,2.50532341234789,8.14436387015968e-05,2.76405646310564,0.95875972896556,-237.290729144405,"Low","Even"
"63","4o9gKp3jnoFy8J2pmGVh",36,"lowStart_even",TRUE,"unknown",TRUE,"male","turker",49,"07/20/2020","../data/4o9gKp3jnoFy8J2pmGVh_responses.xlsx","HiFreq",0.810000688435366,0,4.07101770743271e-05,0.955340619361416,2.7255979456087,8.16387233067896e-05,3.08276011404341,0.968848504803873,-170.239453944621,"Low","Even"
"64","4SeUCr4ST8Oa40LiOKxd",30,"highStart_even",TRUE,"unknown",FALSE,"female","turker",15,"07/20/2020","../data/4SeUCr4ST8Oa40LiOKxd_responses.xlsx","AllFreq",0.529531223138292,0.189721616815786,4.06976100351144e-05,0.309204626557402,0,3.13384721580352e-05,0.368679102315945,0.594823128446933,-278.493907982896,"High","Even"
"65","4SeUCr4ST8Oa40LiOKxd",30,"highStart_even",TRUE,"unknown",FALSE,"female","turker",15,"07/20/2020","../data/4SeUCr4ST8Oa40LiOKxd_responses.xlsx","LoFreq",0.514099744210398,0.104144439699471,4.07674097764267e-05,0.259505408975849,0,3.13384721580352e-05,0.377800458545265,0.552037250224657,-208.019686341492,"High","Even"
"66","4SeUCr4ST8Oa40LiOKxd",30,"highStart_even",TRUE,"unknown",FALSE,"female","turker",15,"07/20/2020","../data/4SeUCr4ST8Oa40LiOKxd_responses.xlsx","HiFreq",0.546615873919563,0.266054185049894,4.06932083976898e-05,0.440415175999144,0.0382615342524729,3.13384721580352e-05,0.546317836364086,0.64090577912566,-204.690140608474,"High","Even"
"67","5hEVrS5OUJ37PXjM2jVj",25,"highStart_clump",TRUE,"unknown",FALSE,"female","turker",15,"07/20/2020","../data/5hEVrS5OUJ37PXjM2jVj_responses.xlsx","LoFreq",0.439051469971218,0.229115396084119,4.07031476687228e-05,0.548418032495504,0,3.13384721580352e-05,0.344110260054757,0.614518770431459,-149.824755763621,"High","Clumped"
"68","5hEVrS5OUJ37PXjM2jVj",25,"highStart_clump",TRUE,"unknown",FALSE,"female","turker",15,"07/20/2020","../data/5hEVrS5OUJ37PXjM2jVj_responses.xlsx","AllFreq",0.411775022865186,0.0461833183752585,6.12156713652454e-05,0.349200673720066,0,3.13384721580352e-05,0.197239728474673,0.523058525262513,-219.357812075293,"High","Clumped"
"69","5hEVrS5OUJ37PXjM2jVj",25,"highStart_clump",TRUE,"unknown",FALSE,"female","turker",15,"07/20/2020","../data/5hEVrS5OUJ37PXjM2jVj_responses.xlsx","HiFreq",0.389751038588656,0,4.0697325613559e-05,0.291623007671162,0,3.13384721580352e-05,0.172093964854806,0.499968328757859,-164.036912082854,"High","Clumped"
"70","5jcUEO9WFjMe4oUaPfCM",33,"lowStart_even",TRUE,"unknown",FALSE,"male","turker",15,"07/08/2020","../data/5jcUEO9WFjMe4oUaPfCM_responses.xlsx","AllFreq",0.483749602372427,0,4.57598152543246e-05,0.054210776154624,0,3.13384721580352e-05,0.19110312958365,0.499968328757859,-331.709660734451,"Low","Even"
"71","5jcUEO9WFjMe4oUaPfCM",33,"lowStart_even",TRUE,"unknown",FALSE,"male","turker",15,"07/08/2020","../data/5jcUEO9WFjMe4oUaPfCM_responses.xlsx","LoFreq",0.487741755102434,0,6.60408543905442e-05,0.0474802515180636,0,3.13384721580352e-05,0.190991393316797,0.499968328757859,-251.778703535393,"Low","Even"
