ParticipantIdentifier,Age,Low Start/High Start,Clump/Even,NativeSpeaker,EngAoA,Bilingual,Gender,WorkerType,TimeToCompletion,CompletionDate,R,Rmin,Rmax,dprime,dmin,dmax,AUROC,File,Task Condition,Fit type
ekYMQKAIWbMCbkEFYf0k,52,Low Start,Clump,1,unknown,0,female,turker,17,20/07/2020,0.203048332952346,0.15,0.25,0.026252909750096,1.08394972658558E-05,0.394616961547251,0.607425561873005,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\ekYMQKAIWbMCbkEFYf0k_responses.xlsx,Sheet1,Conf
Hc2Si80G6Y7wOn4wfWlK,37,Low Start,Clump,1,unknown,0,male,turker,24,20/07/2020,0.150366856995991,0,0.3,0.315178939797171,2.07896218958056E-05,0.769031584305197,0.650103592283335,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\Hc2Si80G6Y7wOn4wfWlK_responses.xlsx,Sheet1,Conf
UQTagLh9hm8gpn1pilEx,55,Low Start,Clump,1,unknown,0,female,turker,18,20/07/2020,0.169761225588371,0,0.3,0.028192976818323,6.93889390390723E-18,0.423734018476816,0.591482811936047,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\UQTagLh9hm8gpn1pilEx_responses.xlsx,Sheet1,Conf
idqM1Q6aXIRxAV7HNbHu,31,High Start,Even,1,unknown,0,male,turker,19,20/07/2020,1.22679439721939E-07,0,0.2,0.17087997329088,9.71445146547012E-17,0.387406748122694,0.548087077562493,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\idqM1Q6aXIRxAV7HNbHu_responses.xlsx,Sheet1,Conf
lEuMxRSPGNaGP8nJQSUb,42,High Start,Even,1,unknown,0,male,turker,12,20/07/2020,0.18570960970714,0,0.25,0.622450176282428,0.028159078538215,1.2426659259393,0.731350397193987,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\lEuMxRSPGNaGP8nJQSUb_responses.xlsx,Sheet1,Conf
APb1yHY02MDw6uIMXsGP,56,High Start,Even,1,unknown,0,female,turker,14,20/07/2020,3.48852372560851E-06,0,0.15,0.010823122105096,2.45460096298011E-05,0.208589286749809,0.503054563467785,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\APb1yHY02MDw6uIMXsGP_responses.xlsx,Sheet1,Conf
Rct1FlvnL4GIEejWhILy,30,High Start,Even,1,unknown,0,male,turker,18,20/07/2020,2.67175604556914E-15,0,0.05,1.6113281249974E-06,6.15472576720369E-07,0.056400527276485,0.500000167895692,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\Rct1FlvnL4GIEejWhILy_responses.xlsx,Sheet1,Conf
f3pqb0lQCJ1KTNusVBCk,32,High Start,Even,1,unknown,0,male,turker,12,20/07/2020,0.145674022333378,0,0.45,0.397343713266939,1.42915362854815E-05,0.762821791917239,0.667351791908011,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\f3pqb0lQCJ1KTNusVBCk_responses.xlsx,Sheet1,Conf
d3ENGYqtS0M2cipB7IaN,34,High Start,Even,1,unknown,0,female,turker,14,20/07/2020,0.10048910795498,0.04,0.15,0.002364304189339,1.02003621289344E-05,0.452714688224498,0.550844174473501,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\d3ENGYqtS0M2cipB7IaN_responses.xlsx,Sheet1,Conf
yBx39cGei0nxtXOlVGVP,29,High Start,Even,1,unknown,1,other,turker,15,20/07/2020,0.426848844389718,0.35,0.5,0.541295501884059,0.055536129647207,1.07916045171083,0.79885162519737,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\yBx39cGei0nxtXOlVGVP_responses.xlsx,Sheet1,Conf
