"","ParticipantIdentifier","Age","ClumpCondition","Condition","NativeSpeaker","EngAoA","Bilingual","Gender","TimeToCompletion","CompletionDate","File","WordFreq","AUROCnofit","R","Rmin","Rmax","dprime","dmin","dmax","AUROC","logL","StartCondition","OrderCondition"
"37","3BswH2bG6wWAseHoU1VP",25,"clumped","high_clumped_picsFirst","TRUE","unknown","TRUE","male",28,"6/16/2021","../data/3BswH2bG6wWAseHoU1VP_responses_words.xlsx","LoFreq",0.705155080146142,0.610272785780074,0.192947869612122,0.737780988377615,1.17539553697944,0.123002989248405,2.14871055537786,0.920581385482819,-176.449843552202,"High","Clumped"
"38","3BswH2bG6wWAseHoU1VP",25,"clumped","high_clumped_picsFirst","TRUE","unknown","TRUE","male",28,"6/16/2021","../data/3BswH2bG6wWAseHoU1VP_responses_words.xlsx","HiFreq",0.577271183080029,0.161540662617455,4.06933330315827e-05,0.283352808496008,0.946256840040679,0.421623649166211,1.55547120605721,0.788736854507988,-180.404863205022,"High","Clumped"
"39","3BswH2bG6wWAseHoU1VP",25,"clumped","high_clumped_picsFirst","TRUE","unknown","TRUE","male",28,"6/16/2021","../data/3BswH2bG6wWAseHoU1VP_responses_words.xlsx","AllFreq",0.634832772482696,0.381315852938916,0.0586863148364976,0.482709949385776,1.04102468255082,0.532614925201375,1.71405737354657,0.856936662088174,-292.172491400751,"High","Clumped"
"40","3OYuSBH5CT6Cd2kr9V4E",45,"clumped","high_clumped_picsFirst","TRUE","unknown","FALSE","female",42,"5/28/2021","../data/3OYuSBH5CT6Cd2kr9V4E_responses_words.xlsx","LoFreq",0.566777908297354,0.270320910699356,4.0738841021809e-05,0.411298686084533,0.122108140622741,8.13918215195121e-05,0.845034870677484,0.660216312709508,-287.492577261898,"High","Clumped"
"41","3OYuSBH5CT6Cd2kr9V4E",45,"clumped","high_clumped_picsFirst","TRUE","unknown","FALSE","female",42,"5/28/2021","../data/3OYuSBH5CT6Cd2kr9V4E_responses_words.xlsx","HiFreq",0.707959190267957,0,4.07055893818384e-05,0.806238929393462,1.75604390167697,8.14547838016407e-05,2.0505410324455,0.891930098173361,-244.319756021196,"High","Clumped"
"42","3OYuSBH5CT6Cd2kr9V4E",45,"clumped","high_clumped_picsFirst","TRUE","unknown","FALSE","female",42,"5/28/2021","../data/3OYuSBH5CT6Cd2kr9V4E_responses_words.xlsx","AllFreq",0.62712800050349,0.443355294771405,4.07679585809737e-05,0.604158788673583,0.407816059597933,8.13888814416315e-05,1.25157380054684,0.784759717137149,-379.570912435882,"High","Clumped"
"43","3SaRdyjvkgXYVJGMhPTK",27,"clumped","low_clumped_wordsFirst","FALSE","6","TRUE","male",42,"6/3/2021","../data/3SaRdyjvkgXYVJGMhPTK_responses_words.xlsx","HiFreq",0.726415971104416,0,4.07063476471254e-05,0.850211751669483,1.49593834622182,8.15084893625221e-05,1.83784282643687,0.854351050578543,-257.758540652583,"Low","Clumped"
"44","3SaRdyjvkgXYVJGMhPTK",27,"clumped","low_clumped_wordsFirst","FALSE","6","TRUE","male",42,"6/3/2021","../data/3SaRdyjvkgXYVJGMhPTK_responses_words.xlsx","LoFreq",0.58623093981214,0,4.06994189730209e-05,0.46619203575452,0.515352961979672,8.142528212044e-05,0.765435700256813,0.642132735824362,-311.531077039818,"Low","Clumped"
"45","3SaRdyjvkgXYVJGMhPTK",27,"clumped","low_clumped_wordsFirst","FALSE","6","TRUE","male",42,"6/3/2021","../data/3SaRdyjvkgXYVJGMhPTK_responses_words.xlsx","AllFreq",0.640038834739244,0,4.08169345208813e-05,0.60934321214332,0.898211695871486,0.00797605175702196,1.11332906576172,0.737136725786058,-367.82835222537,"Low","Clumped"
"46","3xlH1Ex0a18FKDf7JPIa",29,"clumped","high_clumped_picsFirst","TRUE","unknown","FALSE","male",31,"6/14/2021","../data/3xlH1Ex0a18FKDf7JPIa_responses_words.xlsx","LoFreq",0.684784190956634,0,4.07179303956211e-05,0.630909461473188,1.36165532140502,0.318898748316883,1.62636970555839,0.831733575450471,-289.04937220273,"High","Clumped"
